psi,theta,K,h
-2.6799999999999997,0.40856194,0.003940653,2.6799999999999997
-2.69,0.4085546,0.003929441,2.69
-2.6999999999999997,0.40854725,0.003918306,2.6999999999999997
-2.71,0.4085399,0.003907272,2.71
-2.7199999999999998,0.40853256,0.0038963233,2.7199999999999998
-2.73,0.40852517,0.0038854599,2.73
-2.7399999999999998,0.40851778,0.0038746814,2.7399999999999998
-2.75,0.4085104,0.0038640194,2.75
-2.76,0.408503,0.0038534426,2.76
-2.77,0.40849558,0.0038429277,2.77
-2.78,0.40848812,0.0038325135,2.78
-2.79,0.40848067,0.003822177,2.79
-2.8,0.40847325,0.0038119254,2.8
-2.81,0.40846577,0.003801767,2.81
-2.82,0.4084583,0.0037916705,2.82
-2.8299999999999996,0.40845084,0.003781675,2.8299999999999996
-2.84,0.40844336,0.0037717412,2.84
-2.8499999999999996,0.40843585,0.0037619006,2.8499999999999996
-2.86,0.40842834,0.0037521217,2.86
-2.8699999999999997,0.40842083,0.003742436,2.8699999999999997
-2.88,0.4084133,0.0037328124,2.88
-2.8899999999999997,0.40840578,0.0037232738,2.8899999999999997
-2.9,0.40839824,0.0037137894,2.9
-2.9099999999999997,0.40839067,0.0037044135,2.9099999999999997
-2.92,0.40838313,0.0036950689,2.92
-2.9299999999999997,0.40837553,0.0036858092,2.9299999999999997
-2.94,0.40836793,0.003676635,2.94
-2.9499999999999997,0.40836036,0.0036675304,2.9499999999999997
-2.96,0.40835273,0.00365848,2.96
-2.9699999999999998,0.40834513,0.0036494993,2.9699999999999998
-2.98,0.4083375,0.0036406117,2.98
-2.9899999999999998,0.40832987,0.0036317627,2.9899999999999998
-3.0,0.40832224,0.003622976,3.0
-3.01,0.4083146,0.0036142664,3.01
-3.02,0.40830693,0.0036056112,3.02
-3.03,0.40829927,0.0035970411,3.03
-3.04,0.4082916,0.0035885177,3.04
-3.05,0.40828392,0.0035800564,3.05
-3.06,0.40827623,0.00357168,3.06
-3.07,0.4082685,0.003563327,3.07
-3.08,0.40826082,0.003555067,3.08
-3.09,0.40825307,0.003546838,3.09
-3.0999999999999996,0.40824538,0.0035386942,3.0999999999999996
-3.11,0.40823767,0.0035305892,3.11
-3.1199999999999997,0.40822995,0.0035225383,3.1199999999999997
-3.13,0.40822217,0.0035145574,3.13
-3.1399999999999997,0.40821442,0.0035066383,3.1399999999999997
-3.15,0.40820664,0.0034987736,3.15
-3.1599999999999997,0.40819886,0.0034909628,3.1599999999999997
-3.17,0.40819108,0.0034831988,3.17
-3.1799999999999997,0.4081833,0.0034754889,3.1799999999999997
-3.19,0.40817547,0.0034678332,3.19
-3.1999999999999997,0.40816766,0.0034602473,3.1999999999999997
-3.21,0.40815988,0.0034526924,3.21
-3.2199999999999998,0.40815204,0.0034451918,3.2199999999999998
-3.23,0.40814424,0.003437761,3.23
-3.2399999999999998,0.40813637,0.0034303688,3.2399999999999998
-3.25,0.40812853,0.003423031,3.25
-3.26,0.4081207,0.0034157317,3.26
-3.27,0.40811282,0.0034084867,3.27
-3.28,0.40810496,0.003401296,3.28
-3.29,0.4080971,0.0033941518,3.29
-3.3,0.4080892,0.0033870463,3.3
-3.31,0.40808132,0.003380003,3.31
-3.32,0.40807343,0.0033729903,3.32
-3.33,0.40806556,0.0033660245,3.33
-3.34,0.4080576,0.0033591127,3.34
-3.3499999999999996,0.4080497,0.003352255,3.3499999999999996
-3.36,0.40804178,0.003345444,3.36
-3.3699999999999997,0.40803385,0.003338664,3.3699999999999997
-3.38,0.4080259,0.0033319306,3.38
-3.3899999999999997,0.408018,0.0033252512,3.3899999999999997
-3.4,0.40801,0.003318603,3.4
-3.4099999999999997,0.40800205,0.003312001,3.4099999999999997
-3.42,0.4079941,0.003305446,3.42
-3.4299999999999997,0.4079861,0.0032989215,3.4299999999999997
-3.44,0.40797812,0.0032924437,3.44
-3.4499999999999997,0.40797013,0.0032860045,3.4499999999999997
-3.46,0.40796214,0.003279612,3.46
-3.4699999999999998,0.40795416,0.003273266,3.4699999999999998
-3.48,0.40794614,0.0032669508,3.48
-3.4899999999999998,0.4079381,0.003260682,3.4899999999999998
-3.5,0.4079301,0.0032544446,3.5
-3.51,0.4079221,0.0032482534,3.51
-3.52,0.40791404,0.0032420855,3.52
-3.53,0.407906,0.0032359718,3.53
-3.54,0.40789795,0.0032298814,3.54
-3.55,0.4078899,0.0032238376,3.55
-3.56,0.40788186,0.0032178478,3.56
-3.57,0.4078738,0.0032118736,3.57
-3.58,0.4078657,0.0032059536,3.58
-3.59,0.40785766,0.0032000416,3.59
-3.5999999999999996,0.4078496,0.0031941836,3.5999999999999996
-3.61,0.40784147,0.0031883412,3.61
-3.6199999999999997,0.4078334,0.0031825607,3.6199999999999997
-3.63,0.40782526,0.0031768112,3.63
-3.6399999999999997,0.40781718,0.003171085,3.6399999999999997
-3.65,0.40780905,0.0031654052,3.65
-3.6599999999999997,0.40780094,0.0031597489,3.6599999999999997
-3.67,0.4077928,0.0031541232,3.67
-3.6799999999999997,0.4077847,0.003148552,3.6799999999999997
-3.69,0.40777653,0.0031429962,3.69
-3.6999999999999997,0.4077684,0.0031374637,3.6999999999999997
-3.71,0.40776026,0.0031319777,3.71
-3.7199999999999998,0.4077521,0.0031265384,3.7199999999999998
-3.73,0.40774393,0.0031210987,3.73
-3.7399999999999998,0.4077358,0.003115698,3.7399999999999998
-3.75,0.4077276,0.0031103515,3.75
-3.76,0.40771943,0.003105028,3.76
-3.77,0.40771124,0.0030997125,3.77
-3.78,0.40770307,0.0030944436,3.78
-3.79,0.40769488,0.0030892286,3.79
-3.8,0.40768668,0.0030839983,3.8
-3.81,0.40767848,0.0030788223,3.81
-3.82,0.40767026,0.0030736695,3.82
-3.83,0.40766206,0.0030685633,3.83
-3.84,0.40765387,0.0030634645,3.84
-3.8499999999999996,0.40764558,0.003058397,3.8499999999999996
-3.86,0.4076374,0.0030533527,3.86
-3.8699999999999997,0.40762916,0.0030483548,3.8699999999999997
-3.88,0.4076209,0.0030433803,3.88
-3.8899999999999997,0.40761268,0.0030384134,3.8899999999999997
-3.9,0.40760443,0.0030335085,3.9
-3.9099999999999997,0.40759617,0.0030286114,3.9099999999999997
-3.92,0.4075879,0.0030237376,3.92
-3.9299999999999997,0.40757963,0.003018879,3.9299999999999997
-3.94,0.40757138,0.003014075,3.94
-3.9499999999999997,0.4075631,0.0030092865,3.9499999999999997
-3.96,0.40755484,0.0030045288,3.96
-3.9699999999999998,0.40754652,0.0029997712,3.9699999999999998
-3.98,0.40753824,0.002995083,3.98
-3.9899999999999998,0.40752995,0.00299038,3.9899999999999998
-4.0,0.40752167,0.0029857308,4.0
-4.01,0.40751335,0.002981097,4.01
-4.02,0.40750504,0.0029764788,4.02
-4.03,0.40749672,0.0029718995,4.03
-4.04,0.4074884,0.0029673355,4.04
-4.05,0.40748006,0.002962787,4.05
-4.06,0.40747178,0.0029582696,4.06
-4.07,0.40746343,0.0029537755,4.07
-4.08,0.4074551,0.0029493277,4.08
-4.09,0.40744674,0.00294488,4.09
-4.1,0.40743843,0.0029404555,4.1
-4.109999999999999,0.40743005,0.0029360622,4.109999999999999
-4.12,0.4074217,0.0029316996,4.12
-4.13,0.4074133,0.002927337,4.13
-4.14,0.40740496,0.002923021,4.14
-4.1499999999999995,0.4073966,0.0029187053,4.1499999999999995
-4.16,0.4073882,0.0029144203,4.16
-4.17,0.40737987,0.0029101586,4.17
-4.18,0.40737146,0.0029059122,4.18
-4.1899999999999995,0.4073631,0.0029017047,4.1899999999999995
-4.2,0.4073547,0.002897505,4.2
-4.21,0.4073463,0.0028933287,4.21
-4.22,0.4073379,0.0028891752,4.22
-4.2299999999999995,0.4073295,0.00288503,4.2299999999999995
-4.24,0.4073211,0.002880923,4.24
-4.25,0.4073127,0.002876824,4.25
-4.26,0.4073043,0.0028727793,4.26
-4.27,0.40729585,0.0028687112,4.27
-4.28,0.40728742,0.0028646898,4.28
-4.29,0.407279,0.0028606837,4.29
-4.3,0.4072706,0.0028566853,4.3
-4.31,0.40726215,0.002852718,4.31
-4.32,0.4072537,0.002848751,4.32
-4.33,0.40724528,0.0028448456,4.33
-4.34,0.4072368,0.002840917,4.34
-4.35,0.40722835,0.0028370195,4.35
-4.36,0.40721992,0.0028331452,4.36
-4.37,0.40721145,0.0028293019,4.37
-4.38,0.407203,0.0028254509,4.38
-4.39,0.40719453,0.0028216385,4.39
-4.3999999999999995,0.40718603,0.002817834,4.3999999999999995
-4.41,0.40717757,0.002814068,4.41
-4.42,0.4071691,0.0028102945,4.42
-4.43,0.4071606,0.0028065364,4.43
-4.4399999999999995,0.40715218,0.0028028248,4.4399999999999995
-4.45,0.40714365,0.0027991133,4.45
-4.46,0.40713513,0.0027954404,4.46
-4.47,0.40712667,0.0027917754,4.47
-4.4799999999999995,0.40711814,0.0027880871,4.4799999999999995
-4.49,0.40710968,0.0027844685,4.49
-4.5,0.40710112,0.0027808575,4.5
-4.51,0.40709263,0.002777239,4.51
-4.52,0.4070841,0.002773628,4.52
-4.53,0.40707558,0.0027700716,4.53
-4.54,0.40706706,0.0027665305,4.54
-4.55,0.40705854,0.0027630047,4.55
-4.56,0.40705,0.002759456,4.56
-4.57,0.4070415,0.0027559614,4.57
-4.58,0.40703297,0.0027524822,4.58
-4.59,0.4070244,0.002749003,4.59
-4.6,0.40701586,0.002745547,4.6
-4.61,0.40700734,0.0027421068,4.61
-4.62,0.40699875,0.0027386819,4.62
-4.63,0.40699023,0.0027352802,4.63
-4.64,0.40698165,0.0027318865,4.64
-4.6499999999999995,0.40697306,0.0027285002,4.6499999999999995
-4.66,0.40696454,0.0027251528,4.66
-4.67,0.40695596,0.0027217823,4.67
-4.68,0.40694737,0.0027184659,4.68
-4.6899999999999995,0.4069388,0.0027151417,4.6899999999999995
-4.7,0.40693024,0.0027118486,4.7
-4.71,0.40692165,0.0027085554,4.71
-4.72,0.40691307,0.0027052776,4.72
-4.7299999999999995,0.40690446,0.0027020155,4.7299999999999995
-4.74,0.40689588,0.0026987689,4.74
-4.75,0.4068873,0.0026955456,4.75
-4.76,0.4068787,0.0026923297,4.76
-4.77,0.4068701,0.0026891218,4.77
-4.78,0.40686148,0.002685945,4.78
-4.79,0.4068529,0.002682768,4.79
-4.8,0.40684426,0.0026796067,4.8
-4.81,0.40683568,0.0026764607,4.81
-4.82,0.40682703,0.0026733303,4.82
-4.83,0.40681845,0.0026702075,4.83
-4.84,0.4068098,0.0026671004,4.84
-4.85,0.40680116,0.0026640086,4.85
-4.86,0.40679252,0.0026609479,4.86
-4.87,0.40678394,0.0026578796,4.87
-4.88,0.4067753,0.0026548342,4.88
-4.89,0.40676665,0.002651797,4.89
-4.8999999999999995,0.406758,0.0026487594,4.8999999999999995
-4.91,0.40674937,0.0026457529,4.91
-4.92,0.4067407,0.0026427542,4.92
-4.93,0.40673208,0.002639771,4.93
-4.9399999999999995,0.40672338,0.0026367956,4.9399999999999995
-4.95,0.40671474,0.0026338357,4.95
-4.96,0.4067061,0.0026308834,4.96
-4.97,0.40669742,0.0026279544,4.97
-4.9799999999999995,0.40668875,0.0026250253,4.9799999999999995
-4.99,0.40668008,0.0026221352,4.99
-5.0,0.4066714,0.0026192218,5.0
-5.01,0.40666273,0.002616347,5.01
-5.02,0.40665406,0.00261348,5.02
-5.03,0.40664536,0.0026105975,5.03
-5.04,0.4066367,0.0026077384,5.04
-5.05,0.406628,0.00260491,5.05
-5.06,0.4066193,0.0026020897,5.06
-5.07,0.4066106,0.0025992612,5.07
-5.08,0.4066019,0.002596472,5.08
-5.09,0.40659326,0.0025936668,5.09
-5.1,0.40658456,0.0025908852,5.1
-5.11,0.40657586,0.0025881266,5.11
-5.12,0.40656713,0.0025853526,5.12
-5.13,0.40655842,0.0025826173,5.13
-5.14,0.40654975,0.0025798897,5.14
-5.1499999999999995,0.406541,0.0025771314,5.1499999999999995
-5.16,0.4065323,0.002574458,5.16
-5.17,0.4065236,0.0025717304,5.17
-5.18,0.40651482,0.002569065,5.18
-5.1899999999999995,0.40650612,0.0025663762,5.1899999999999995
-5.2,0.4064974,0.0025636875,5.2
-5.21,0.40648866,0.0025610374,5.21
-5.22,0.40647995,0.0025583797,5.22
-5.2299999999999995,0.4064712,0.0025557529,5.2299999999999995
-5.24,0.4064625,0.0025531184,5.24
-5.25,0.40645373,0.0025505226,5.25
-5.26,0.40644497,0.0025478958,5.26
-5.27,0.4064362,0.0025453079,5.27
-5.28,0.40642747,0.0025427197,5.28
-5.29,0.40641874,0.0025401318,5.29
-5.3,0.40640995,0.002537567,5.3
-5.31,0.4064012,0.00253501,5.31
-5.32,0.40639246,0.002532476,5.32
-5.33,0.4063837,0.0025299112,5.33
-5.34,0.40637493,0.0025274009,5.34
-5.35,0.40636617,0.002524898,5.35
-5.36,0.40635735,0.0025223952,5.36
-5.37,0.4063486,0.0025198923,5.37
-5.38,0.40633982,0.0025173896,5.38
-5.39,0.40633106,0.002514941,5.39
-5.3999999999999995,0.40632224,0.0025124536,5.3999999999999995
-5.41,0.40631348,0.0025099895,5.41
-5.42,0.40630472,0.0025075488,5.42
-5.43,0.4062959,0.0025051157,5.43
-5.4399999999999995,0.40628713,0.0025026826,5.4399999999999995
-5.45,0.4062783,0.0025002495,5.45
-5.46,0.40626955,0.0024978397,5.46
-5.47,0.40626073,0.0024954532,5.47
-5.4799999999999995,0.40625197,0.0024930357,5.4799999999999995
-5.49,0.40624315,0.0024906336,5.49
-5.5,0.40623432,0.0024882858,5.5
-5.51,0.40622553,0.0024859225,5.51
-5.52,0.40621674,0.002483567,5.52
-5.53,0.4062079,0.0024812114,5.53
-5.54,0.4061991,0.0024788713,5.54
-5.55,0.40619028,0.0024765467,5.55
-5.56,0.40618145,0.0024742298,5.56
-5.57,0.40617263,0.0024719052,5.57
-5.58,0.4061638,0.002469604,5.58
-5.59,0.40615496,0.0024673026,5.59
-5.6,0.40614614,0.0024650246,5.6
-5.61,0.40613732,0.002462731,5.61
-5.62,0.4061285,0.0024604527,5.62
-5.63,0.40611964,0.002458198,5.63
-5.64,0.4061108,0.002455951,5.64
-5.6499999999999995,0.40610194,0.0024536883,5.6499999999999995
-5.66,0.40609312,0.002451449,5.66
-5.67,0.40608427,0.0024492173,5.67
-5.68,0.40607542,0.0024470012,5.68
-5.6899999999999995,0.4060666,0.0024448007,5.6899999999999995
-5.7,0.4060577,0.0024425846,5.7
-5.71,0.40604886,0.0024403762,5.71
-5.72,0.40603998,0.0024382144,5.72
-5.7299999999999995,0.40603113,0.0024360137,5.7299999999999995
-5.74,0.40602228,0.0024338285,5.74
-5.75,0.4060134,0.00243169,5.75
-5.76,0.40600455,0.0024294972,5.76
-5.77,0.40599567,0.0024273586,5.77
-5.78,0.40598682,0.0024252122,5.78
-5.79,0.40597796,0.0024230813,5.79
-5.8,0.40596902,0.0024209428,5.8
-5.81,0.40596014,0.0024188196,5.81
-5.82,0.4059513,0.0024167197,5.82
-5.83,0.4059424,0.002414612,5.83
-5.84,0.40593353,0.0024125045,5.84
-5.85,0.40592465,0.0024104046,5.85
-5.86,0.40591574,0.002408328,5.86
-5.87,0.40590686,0.002406259,5.87
