psi,theta
-2.9899999999999998,0.40832987
-3.0,0.40832224
-3.01,0.4083146
-3.02,0.40830693
-3.03,0.40829927
-3.04,0.4082916
-3.05,0.40828392
-3.06,0.40827623
-3.07,0.4082685
-3.08,0.40826082
-3.09,0.40825307
-3.0999999999999996,0.40824538
-3.11,0.40823767
-3.1199999999999997,0.40822995
-3.13,0.40822217
-3.1399999999999997,0.40821442
-3.15,0.40820664
-3.1599999999999997,0.40819886
-3.17,0.40819108
-3.1799999999999997,0.4081833
-3.19,0.40817547
-3.1999999999999997,0.40816766
-3.21,0.40815988
-3.2199999999999998,0.40815204
-3.23,0.40814424
-3.2399999999999998,0.40813637
-3.25,0.40812853
-3.26,0.4081207
-3.27,0.40811282
-3.28,0.40810496
-3.29,0.4080971
-3.3,0.4080892
-3.31,0.40808132
-3.32,0.40807343
-3.33,0.40806556
-3.34,0.4080576
-3.3499999999999996,0.4080497
-3.36,0.40804178
-3.3699999999999997,0.40803385
-3.38,0.4080259
-3.3899999999999997,0.408018
-3.4,0.40801
-3.4099999999999997,0.40800205
-3.42,0.4079941
-3.4299999999999997,0.4079861
-3.44,0.40797812
-3.4499999999999997,0.40797013
-3.46,0.40796214
-3.4699999999999998,0.40795416
-3.48,0.40794614
-3.4899999999999998,0.4079381
-3.5,0.4079301
-3.51,0.4079221
-3.52,0.40791404
-3.53,0.407906
-3.54,0.40789795
-3.55,0.4078899
-3.56,0.40788186
-3.57,0.4078738
-3.58,0.4078657
-3.59,0.40785766
-3.5999999999999996,0.4078496
-3.61,0.40784147
-3.6199999999999997,0.4078334
-3.63,0.40782526
-3.6399999999999997,0.40781718
-3.65,0.40780905
-3.6599999999999997,0.40780094
-3.67,0.4077928
-3.6799999999999997,0.4077847
-3.69,0.40777653
-3.6999999999999997,0.4077684
-3.71,0.40776026
-3.7199999999999998,0.4077521
-3.73,0.40774393
-3.7399999999999998,0.4077358
-3.75,0.4077276
-3.76,0.40771943
-3.77,0.40771124
-3.78,0.40770307
-3.79,0.40769488
-3.8,0.40768668
-3.81,0.40767848
-3.82,0.40767026
-3.83,0.40766206
-3.84,0.40765387
-3.8499999999999996,0.40764558
-3.86,0.4076374
-3.8699999999999997,0.40762916
-3.88,0.4076209
-3.8899999999999997,0.40761268
-3.9,0.40760443
-3.9099999999999997,0.40759617
-3.92,0.4075879
-3.9299999999999997,0.40757963
-3.94,0.40757138
-3.9499999999999997,0.4075631
-3.96,0.40755484
-3.9699999999999998,0.40754652
-3.98,0.40753824
-3.9899999999999998,0.40752995
-4.0,0.40752167
-4.01,0.40751335
-4.02,0.40750504
-4.03,0.40749672
-4.04,0.4074884
-4.05,0.40748006
-4.06,0.40747178
-4.07,0.40746343
-4.08,0.4074551
-4.09,0.40744674
-4.1,0.40743843
-4.109999999999999,0.40743005
-4.12,0.4074217
-4.13,0.4074133
-4.14,0.40740496
-4.1499999999999995,0.4073966
-4.16,0.4073882
-4.17,0.40737987
-4.18,0.40737146
-4.1899999999999995,0.4073631
-4.2,0.4073547
-4.21,0.4073463
-4.22,0.4073379
-4.2299999999999995,0.4073295
-4.24,0.4073211
-4.25,0.4073127
-4.26,0.4073043
-4.27,0.40729585
-4.28,0.40728742
-4.29,0.407279
-4.3,0.4072706
-4.31,0.40726215
-4.32,0.4072537
-4.33,0.40724528
-4.34,0.4072368
-4.35,0.40722835
-4.36,0.40721992
-4.37,0.40721145
-4.38,0.407203
-4.39,0.40719453
-4.3999999999999995,0.40718603
-4.41,0.40717757
-4.42,0.4071691
-4.43,0.4071606
-4.4399999999999995,0.40715218
-4.45,0.40714365
-4.46,0.40713513
-4.47,0.40712667
-4.4799999999999995,0.40711814
-4.49,0.40710968
-4.5,0.40710112
-4.51,0.40709263
-4.52,0.4070841
-4.53,0.40707558
-4.54,0.40706706
-4.55,0.40705854
-4.56,0.40705
-4.57,0.4070415
-4.58,0.40703297
-4.59,0.4070244
-4.6,0.40701586
-4.61,0.40700734
-4.62,0.40699875
-4.63,0.40699023
-4.64,0.40698165
-4.6499999999999995,0.40697306
-4.66,0.40696454
-4.67,0.40695596
-4.68,0.40694737
-4.6899999999999995,0.4069388
-4.7,0.40693024
-4.71,0.40692165
-4.72,0.40691307
-4.7299999999999995,0.40690446
-4.74,0.40689588
-4.75,0.4068873
-4.76,0.4068787
-4.77,0.4068701
-4.78,0.40686148
-4.79,0.4068529
-4.8,0.40684426
-4.81,0.40683568
-4.82,0.40682703
-4.83,0.40681845
-4.84,0.4068098
-4.85,0.40680116
-4.86,0.40679252
-4.87,0.40678394
-4.88,0.4067753
-4.89,0.40676665
-4.8999999999999995,0.406758
-4.91,0.40674937
-4.92,0.4067407
-4.93,0.40673208
-4.9399999999999995,0.40672338
-4.95,0.40671474
-4.96,0.4067061
-4.97,0.40669742
-4.9799999999999995,0.40668875
-4.99,0.40668008
-5.0,0.4066714
-5.01,0.40666273
-5.02,0.40665406
-5.03,0.40664536
-5.04,0.4066367
-5.05,0.406628
-5.06,0.4066193
-5.07,0.4066106
-5.08,0.4066019
-5.09,0.40659326
-5.1,0.40658456
-5.11,0.40657586
-5.12,0.40656713
-5.13,0.40655842
-5.14,0.40654975
-5.1499999999999995,0.406541
-5.16,0.4065323
-5.17,0.4065236
-5.18,0.40651482
-5.1899999999999995,0.40650612
-5.2,0.4064974
-5.21,0.40648866
-5.22,0.40647995
-5.2299999999999995,0.4064712
-5.24,0.4064625
-5.25,0.40645373
-5.26,0.40644497
-5.27,0.4064362
-5.28,0.40642747
-5.29,0.40641874
-5.3,0.40640995
-5.31,0.4064012
-5.32,0.40639246
-5.33,0.4063837
-5.34,0.40637493
-5.35,0.40636617
-5.36,0.40635735
-5.37,0.4063486
-5.38,0.40633982
-5.39,0.40633106
-5.3999999999999995,0.40632224
-5.41,0.40631348
-5.42,0.40630472
-5.43,0.4062959
-5.4399999999999995,0.40628713
-5.45,0.4062783
-5.46,0.40626955
-5.47,0.40626073
-5.4799999999999995,0.40625197
-5.49,0.40624315
