,z,t,theta_train,psi_train
335,30.0,16.448,0.297,-15.505
336,30.0,16.701,0.2964,-15.59
337,30.0,16.957,0.2958,-15.676
338,30.0,17.217,0.2952,-15.764
339,30.0,17.482,0.2945,-15.854
340,30.0,17.75,0.2939,-15.945
341,30.0,18.022,0.2932,-16.038
342,30.0,18.299,0.2925,-16.134
343,30.0,18.58,0.2918,-16.23
344,30.0,18.865,0.2911,-16.328
345,30.0,19.155,0.2904,-16.427
346,30.0,19.449,0.2897,-16.528
347,30.0,19.747,0.289,-16.629
348,30.0,20.05,0.2882,-16.732
349,30.0,20.358,0.2875,-16.835
350,30.0,20.671,0.2868,-16.939
351,30.0,20.988,0.286,-17.042
352,30.0,21.31,0.2853,-17.146
353,30.0,21.637,0.2845,-17.25
354,30.0,21.969,0.2838,-17.352
355,30.0,22.306,0.2831,-17.454
356,30.0,22.649,0.2823,-17.555
357,30.0,22.996,0.2816,-17.655
358,30.0,23.349,0.2809,-17.752
359,30.0,23.708,0.2803,-17.847
360,30.0,24.072,0.2796,-17.94
361,30.0,24.441,0.2789,-18.032
362,30.0,24.816,0.2783,-18.12
363,30.0,25.197,0.2777,-18.205
364,30.0,25.584,0.2771,-18.288
365,30.0,25.977,0.2765,-18.37
366,30.0,26.375,0.276,-18.449
367,30.0,26.78,0.2754,-18.525
368,30.0,27.191,0.2749,-18.599
369,30.0,27.608,0.2744,-18.671
370,30.0,28.032,0.2739,-18.741
371,30.0,28.462,0.2735,-18.813
372,30.0,28.899,0.273,-18.887
373,30.0,29.343,0.2726,-18.962
374,30.0,29.793,0.2721,-19.04
375,30.0,30.251,0.2717,-19.119
376,30.0,30.715,0.2712,-19.2
377,30.0,31.186,0.2707,-19.282
378,30.0,31.665,0.2703,-19.367
379,30.0,32.151,0.2698,-19.453
380,30.0,32.645,0.2693,-19.54
381,30.0,33.146,0.2687,-19.63
382,30.0,33.654,0.2682,-19.721
383,30.0,34.171,0.2677,-19.814
384,30.0,34.695,0.2671,-19.908
385,30.0,35.228,0.2666,-20.005
386,30.0,35.769,0.266,-20.103
387,30.0,36.318,0.2655,-20.201
388,30.0,36.875,0.2649,-20.3
389,30.0,37.441,0.2643,-20.4
390,30.0,38.016,0.2637,-20.5
391,30.0,38.599,0.2631,-20.601
392,30.0,39.192,0.2626,-20.703
393,30.0,39.793,0.262,-20.806
394,30.0,40.404,0.2614,-20.911
395,30.0,41.024,0.2608,-21.013
396,30.0,41.654,0.2602,-21.115
397,30.0,42.293,0.2596,-21.216
398,30.0,42.942,0.259,-21.316
399,30.0,43.601,0.2585,-21.415
400,30.0,44.271,0.2579,-21.514
401,30.0,44.95,0.2573,-21.613
402,30.0,45.64,0.2567,-21.712
403,30.0,46.341,0.2562,-21.809
404,30.0,47.052,0.2557,-21.9
405,30.0,47.774,0.2551,-21.989
406,30.0,48.507,0.2546,-22.077
407,30.0,49.252,0.2542,-22.162
408,30.0,50.008,0.2537,-22.246
409,30.0,50.775,0.2532,-22.328
410,30.0,51.555,0.2527,-22.41
411,30.0,52.346,0.2522,-22.493
412,30.0,53.15,0.2518,-22.575
413,30.0,53.965,0.2513,-22.658
414,30.0,54.794,0.2508,-22.737
415,30.0,55.635,0.2504,-22.814
416,30.0,56.489,0.25,-22.889
417,30.0,57.356,0.2495,-22.962
418,30.0,58.236,0.2491,-23.035
419,30.0,59.13,0.2487,-23.107
420,30.0,60.037,0.2483,-23.179
421,30.0,60.959,0.2479,-23.252
422,30.0,61.895,0.2475,-23.325
423,30.0,62.845,0.247,-23.398
424,30.0,63.809,0.2466,-23.472
425,30.0,64.789,0.2462,-23.544
426,30.0,65.783,0.2458,-23.617
427,30.0,66.793,0.2454,-23.689
428,30.0,67.818,0.2451,-23.763
429,30.0,68.859,0.2448,-23.837
430,30.0,69.916,0.2444,-23.913
431,30.0,70.989,0.2441,-23.989
432,30.0,72.078,0.2438,-24.067
